town,gm_id,greek_name
Ci̇hangi̇r,ChIJ59NDwcQ-3hQR8t_KdN9VwyM,Επιχό
Çukurova,ChIJt0_-qOY43hQR8zS--ctKZNw,Κουρού Μοναστήρι
Demi̇rhan,ChIJ07rLVGc-3hQRLlt4hMisB50,Τραχώνι
Di̇lekkaya,ChIJ5yl9NyQ73hQRbXSiiUU8kII,Αγιά
Düzova,ChIJd5SzWcw-3hQRZNO7S2SFftY,'Εξω Μετόχι
Erdemli̇,ChIJU_02NFMl3hQRREaPEMujC_A,Τρεμετουσιά
Gazi̇köy,ChIJ2-w-uzA63hQR74hNpr9M35Q,Αφάντεια
Gökhan,ChIJ-aMg1uQ-3hQR_evJEFjldp4,Βώνη
Kalavaç,ChIJw9LwmqE43hQRVCDyyfoiWvY,Καλυβάκια
Kırıkkale,,
Kırklar,ChIJa0xaksk83hQR8sIIifpLULE,Τύμβου
Meri̇ç,ChIJr3Wloeg73hQRYgQ9kB1WbOs,Μόρα
Mi̇nareli̇köy,ChIJ28mhJVo-3hQRTqPXqS3FK4A,Νέο Χωριό
Taşocakları,,
Yeni̇ceköy,ChIJv890F-o43hQR6OX22CGhtiM,Πέτρα Διγενή
Yi̇ği̇tler,ChIJwxQz5A8w3hQRoV5TxQSKKtk,Άρσος
Maraş,ChIJFbxuNW_I3xQRXL-W8cUUcHc,Βαρώσια
Mutluyaka,ChIJgzObm3213xQRhcNFZ3Y4wgU,Στύλλοι
Tuzla,ChIJTyk1qP213xQRe2YltPw6dIE,Εγκωμη
Yeni̇ Boğazi̇çi̇,ChIJX5JkU8213xQRzoBtqIJxpqA,Άγιος Σέργιος
Akova,ChIJU-OytVBL3hQRMc_Wi2P7kCI,Γύψου
Alani̇çi̇,ChIJ3_fervFK3hQRMBvuklWgwE0,Πηγή Περιστερώνα
Atlılar,ChIJxxEush213xQRzCvoaesLzJA,Αλόδα
Mormenekşe,ChIJAyL-5LS13xQR5RLkEv9LvT4,Λίμνια
Muratağa,ChIJb1bHoMFK3hQRkS8msBE0yO8,Μαράθα
Sandallar,ChIJiVvYky213xQRLpghZSqQR0Q,Σανταλάρης
Yıldırım,ChIJTYIVkZwo3hQRZYA93QHzGLQ,Κελιά
İnönü,ChIJ23CAl5k23hQRqSVMCHJkHeE,Σίντα
Dörtyol,ChIJWS2nt6k13hQRU0DCwffkzjo,Πραστιό
Korkuteli̇,ChIJCSuPp0k13hQRiN0Zm3g8dXA,Γαϊδουράς
Pi̇rhan,ChIJLcSlBsE13hQRP8-F4qiLBBc,Πυργά
Akdoğan,ChIJA8dfLUYw3hQR_xGfkMe5K7g,Λύση
Beyarmudu,ChIJg1TRneIt3hQR8NVvavMgv4s,Πέργαμος
Çayönü,,
Güverci̇nli̇k,ChIJDbkfx5TL3xQR_buM4Nn1d4w,Αχερίτου
İnci̇rli̇,ChIJwaHU1-Iy3hQRbQRoPDGgLv4,Μακράσυκα
Köprülü,ChIJ_ZaSPp0z3hQR3M2gtEPsjGQ,Κούκλια
Türkmenköy,ChIJ1TLrHNsz3hQR7JLKiFS6h5w,Κοντέα
Paşaköy,ChIJqbkYhwQ63hQRzd97gRoxA8U,'Ασκεια
Aslanköy,ChIJg9Z_PJY53hQRZ3xc1Ig97vQ,Αγγαστίνα
Kurudere,ChIJw29psAo33hQRtm1283EgZJY,Μουσουλίτα
Ulukışla,ChIJWXbKMR443hQRsD8nK7y1Cw4,Μαραθόβουνος
Pi̇le,ChIJPZiA7ZEu3hQRWvpMYkNkR4o,Πύλα
Vadi̇li̇,ChIJWd0rCtww3hQR2QZNitRroNA,Βατυλή
Turunçlu,ChIJEWTnjUc33hQRg1nJjH_Xyy0,Στρογγυλός
Geçi̇tkale,ChIJzyALMLpL3hQRN2dyl-_Omes,Λευκόνοικο
Çamlıca,ChIJs_o8XkZJ3hQR6jIyWSux4y4,Γούφες
Çınarlı,ChIJS2khqQpN3hQR0eDHZNaY1vM,Πλατάνι
Mallıdağ,ChIJpSAkQYpO3hQR_mw-aZlPcyU,Μελούντα
Nergi̇sli̇,ChIJY8VhkfxJ3hQR3TtQUo1M-Y8,Γέναγρα
Sütlüce,ChIJX8-_p59J3hQRTt4P10BII_U,Ψυλλάτος
Yamaçköy,ChIJI2lXk_FO3hQRe_DeHtHqp8E,Άγιος Νικόλαος
Serdarlı,ChIJ-1FV-PBH3hQR3ig5I4IhXBw,Κίαδος
Ergenekon,ChIJo-bEGxdG3hQRCtb46LGO9zA,Άγιος Χαρίτων
Gönendere,ChIJUbtao_9I3hQRGQZYKPBGAHQ,Κνώδαρα
Görneç,ChIJyYc73gdH3hQRfmMT5CinGZM,Κορνόκηπος
Pınarlı,ChIJOy2AVzlI3hQRAjxOiqnAn5s,Βιτσάδα
Ti̇rmen,ChIJ5-lxn7NI3hQRAPfDuw7QuFI,Τρυπημένη
Küçükerenköy,ChIJASOqhDZO3hQRLBc-qDsiiEI,Küçükerenköy
Aşağı Karaman,,
Beylerbeyi̇,ChIJFRSYOaEU3hQRgym5F_XZnto,Μπέλαπαϊς
Doğanköy,ChIJ2_cKfkwT3hQRPMWDanLRPCQ,Θέρμια
Edremi̇t,ChIJZ09DMp4S3hQRd0ZOf_1ilTc,Τριμίθι
Karakum,ChIJjWF1a69s3hQRq9ClskzK_00,Καράκουμι
Karaoğlanoğlu,ChIJFTeHhbES3hQRDSlhDo94ZNo,'Αγιος Γεώργιος
Ozanköy,ChIJWQgBAqsU3hQRDGnebBrZxSQ,Καζάφανι
Zeyti̇nli̇k Köy,ChIJwVvTLdAS3hQREGDVCh7-Py4,Τέμπλος
Ilgaz,ChIJwfPO3qkN3hQRRA7HzvR1NmY,Φτεριχα
İncesu,ChIJ2-_tevsM3hQRxLzz2YPxzAI,Μότιδες
Yeşi̇ltepe,ChIJQ37m3RwN3hQRXX8CJYlWe_0,Ελια
Arapköy,ChIJ99aDMKZq3hQRBu8Ksl2TwCw,Κλεπίνη
Çatalköy,ChIJA34q5CVr3hQRg5Hfzht5-RY,'Αγιος Επίκτητος
Ağırdağ,ChIJ67JSUnAS3hQRLQG8XhnW1cY,Αγίρδα
Akçi̇çek,ChIJq-MB6AEM3hQR-l97Vmwy_A4,Σύσκληπος
Aşağı Taşkent,ChIJ-9GNM_QU3hQRWfij39XCSdc,Σιχαρί
Boğazköy,ChIJX0_u6GkS3hQR-1XLGVP2Udo,Μπογάζι
Dağyolu,ChIJyyZGv2cO3hQRMTIGUf-gq2E,Φώττα
Göçeri̇,ChIJh1pYrtUN3hQRacUjOhilL48,Πιλέρι
Güngör,ChIJ03YxSXQV3hQR4xFQB-gI_Ow,Κουτσοβέντης
Kömürcü,ChIJTQMTPfEN3hQRJTxZ743D5oQ,Κιόμουρτζιου
Pınarbaşı,ChIJSQMEM-YN3hQRS4wByo5E5SU,Κρηνί
Şi̇ri̇nevler,ChIJAy0Ii7UO3hQRJ_TtF_VdPxA,'Αγιος Ερμόλαος
Yukarı Taşkent,ChIJz9U6E_8U3hQRanxew9hlx0U,Βουνό
Esentepe,,
Bahçeli̇,ChIJ8Qe9QW9P3hQR9NaEanZcrvI,Καλογραία
Beşparmak,ChIJ5YwrdUNA3hQR5J9wzYWE44s,Τράπεζα
Karaağaç,ChIJ7VYHdJRG3hQRvc06gOS-wAA,Χάρκεια
Karaman,ChIJc0Z0on0N3hQRzLJNY-kkK-4,Καρμι
Karşıyaka,ChIJI23ralMK3hQRmSYUL86bEWI,Βασιλεια
Akdeni̇z,ChIJwfPNebbk3RQRQ4wY82BrkXg,Αγια Ειρηνη
Alemdağ,ChIJr2BEl-EL3hQRuxRFrugXaDI,Αγριδάκι
Çamlıbel,ChIJKUqtUgji3RQRspS_34LLa1s,Μύρτου
Geçi̇tköy,ChIJ4xP-0fnh3RQR8AxYXLsvyzE,Πάναγρα
Hi̇sarköy,ChIJAbvlJ5QJ3hQRTtLtonn2DKU,Καμπυλή
Karpaşa,ChIJ4dnRB3vi3RQR-lNp5vJPO8A,Καρπάσια
Kayalar,ChIJ4UZrwHXh3RQR2PaE3-Wo7uw,Όργα
Kılıçarslan,ChIJD2LWg_gI3hQRPkQCNEuxAgw,Κοντεμένος
Koruçam,ChIJx4wIQefj3RQR954Nruf_HOE,Κορμακίτης
Kozan,ChIJZSJJD2MJ3hQRrXqQjWK3sFg,Λάρνακας της Λαπήθου
Özhan,ChIJf0DUGkwI3hQRtzbRpmnmEnE,Ασωματος
Sadrazamköy,ChIJ17BMu43m3RQRUulnzLeP1Gk,Λιβερα
Tepebaşı,ChIJh89DvULi3RQRdBBYCLBD6JM,Διόριος
Akçay,ChIJgTNn8n3-3RQRjdbMqU27XTk,Ατσάγι
Aşağı Bostancı,ChIJjbYq_sD-3RQRRBwt-tCPH7k,Κάτω Ζώδεια
Aydınköy,ChIJ8XZ5q1T43RQRzV60qnMopDY,Πραστειό
Gayretköy,ChIJK62DccsA3hQRAGla_VKsatc,Αυλώνα
Güneşköy,ChIJwRmoGRv53RQRTTcfmvPxpBo,Νικήτας
Kalkanlı,ChIJQyuQ1iP93RQRg1qfNPTRskI,Καπούτι
Mevlevi̇,ChIJ6WxWC5b93RQR_5--axMMlfw,Κυρά
Serhatköy,ChIJS4_MUl0H3hQRcIMqx8tFKPE,Φυλλιά
Şahi̇nler,ChIJcbZPcfb93RQRkUJAV1mCgxU,Μάσαρη
Yayla,ChIJMfmr19L73RQRh0aCJUR2yxg,Συριανοχώρι
Yukarı Bostancı,ChIJMyeRpuj-3RQRDNZiowoWvBo,Πάνω Ζώδεια
Yuvacık,ChIJby8zJkT83RQRld-NRrT-uYE,Χρυσηλιου
Zümrütköy,ChIJCb4haHH-3RQRGM3vjRR4u1E,Κατωκοπιά
Lefke,ChIJJcwU6qVZ5xQRkcCTmSDRNms,Λεύκα
Bademli̇köy,ChIJgSNU9gdf5xQRiKQhw6eXsLo,Λουτρός
Bağlıköy,ChIJufDGSspe5xQRti6m1cYJ7cY,Αμπελικού
Cengi̇zköy,ChIJQezCzERY5xQRDAbxW8MZjdE,Περιστερωνάρι
Çamlıköy,ChIJAzmtTDVY5xQRUIkSXcYjHX8,Καλό Χωριό
Deni̇zli̇,ChIJW2dQ9YxY5xQR7UjsWMVoXM0,Ξερός
Doğancı,ChIJe0vMruVX5xQRdlKV_XZjxnU,Ελιά
Gazi̇veren,ChIJEXCaWzf43RQR7zTW95TGTfo,Καζιβερά
Taşpınar,ChIJSytdCzRW5xQRJUyZzLdv1n4,Αγκολέμ
Yedi̇dalga,ChIJcb1P3tJY5xQRmfZXUDXRy0s,Ποταμός
Yeşi̇lırmak,ChIJ7fWEp8df5xQR6HUUmDmX6gk,Λιμνίτης
Yeşi̇lyurt,ChIJpSgobwpY5xQRwtSdyBiNSQU,Πεντάγεια
Ağıllar,ChIJUSNwLkyt3xQRSomsft-WRec,Μάντρες
Altınova,ChIJY7u8o6Oy3xQRg_sVkgyCKqo,'Αγιος Ιάκωβος
Ardahan,ChIJK0xTfYKu3xQRkpKVIOf3KIA,Άρδανα
Aygün,ChIJz0sKlpSz3xQRfqCrh0TGdtE,Άγιος Γεώργιος
Boğaz,ChIJUasau5ev3xQRzJkaQJUAR-A,Μπογάζι
Boğazi̇çi̇,ChIJZSUjjWyz3xQRNs6Qsmp39nA,Λάπαθος
Boğaztepe,ChIJpZeEvrmv3xQRkQn98z8idbo,Μόναργα
Ergazi̇,ChIJQ1UAPi-v3xQR1V4TY1l3_68,Όβγορος
Kaleci̇k,ChIJ8Ue0K8Ol3xQRBAocAhcv6Ys,Γαστριά
Kurtuluş,ChIJh8Yz8E-v3xQRvTvUBpX0qFs,Αυγολίδα
Kuzucuk,ChIJ_ZP9CnS03xQRzYR6mME076Y,Αρναδί
Ötüken,ChIJ57M9VAi03xQRtd2YBqUErx4,Σπαθαρικό
Sınırüstü,ChIJJwpkVKWz3xQRkigOcbpOlh8,Σύγκραση
Topçuköy,ChIJffxtwMSt3xQRk3m4vey4iDQ,Άγιος Ανδρόνικος
Turnalar,ChIJSzXsUtyu3xQR1VXj5GR6kdU,Γεράνι
Yarköy,ChIJrdCyc1Ou3xQRxHhmQxG1Cfk,Άγιος Ηλίας
Büyükkonuk,ChIJNXgAoeqn3xQRQyZwR32q9Bc,Κώμη Κεπήρ
Kaplıca,ChIJfR7-IQip3xQRY1J_oXkCTf4,Δαυλός
Ki̇li̇tkaya,ChIJKaLbloGo3xQRiI0jnDWioi0,Κρίδεια
Mersi̇nli̇k,ChIJj1VTB3as3xQRMg9DvvjtqCs,Φλαμούδι
Sazlıköy,ChIJTeADeQyn3xQRXkzFnnGoJEk,Λιβάδια
Tuzluca,ChIJEW9CzxKm3xQRo5ptbTi1y_0,Πατρίκι
Yedi̇konuk,ChIJD8EXgbAJ3xQRV86efYs1Lyg,Επτακώμη
Zeybekköy,ChIJWxKL7aun3xQRGTaHKC59KNg,Άγιος Ευστάθιος
Mehmetçi̇k,ChIJz4xBRhkK3xQRmThc7yJ3-xA,Γαλάτεια
Bafra,ChIJo133OM6g3xQR4lp7rm3fOrY,Βοκολίδα
Balalan,ChIJX5IB3X0M3xQRnOGYt_iti0I,Πλατανισσός
Çayırova,ChIJISBzmemm3xQRbHjlmIap3DY,Άγιος Θεόδωρος
Kumyalı,ChIJYXp-AiAL3xQRtoMhux70cfw,Κώμα Γιαλού
Pamuklu,ChIJc-oXFqWg3xQRFdJRKq-xF_U,Ταύρος
Kantara,ChIJjZyEuU2p3xQROD6uAAxEHCg,Καντάρα
Kaleburnu,ChIJO9rzvaZv3xQR3bJFs5MUGq8,Γαληνόπορνη
Yeni̇ Erenköy,ChIJx9sAZHNt3xQR7rlOtL4guiY,Γιαλούσα
Adaçay,ChIJLdStg31y3xQRDkjvMJyd_oA,Μελάναγρα
Avtepe,ChIJL1aTzkZy3xQR9fXfZJVqp48,Αγιος Συμεών
Boltaşlı,ChIJq2tM1Dtz3xQRio98UMYlW4o,Λυθράγκωμη
Deri̇nce,ChIJx0LR8_By3xQRQM3NU_m4cio,Βαθύλακας
Esenköy,ChIJ61ThRtEM3xQRkPeCY9yZEm8,Κοιλάνεμος
Geli̇nci̇k,ChIJadCyZLMM3xQRTTqTp9vMMA8,Βασίλι
Kuruova,ChIJneqaDzpu3xQRNuMuM_dsljA,Κοροβεία
Si̇pahi̇,ChIJRe5YJrdt3xQRNMiDadjI280,Αγία Τριάς
Taşlıca,,
Yeşi̇lköy,ChIJ_bg3-89y3xQRWY8WMwdxxjA,Άγιος Ανδρόνικος
Zi̇yamet,ChIJv1L4zExz3xQRlKeaoS9biFo,Λεωνάρισο
Erenköy,ChIJ_Sn_GWVh5xQRezW4HeaNPhE,Κόκκινα
