town,gm_id,english_name
Yıldırım,ChIJVZiJvjtL3hQRyAHzEUei13I,Yıldırım
İnönü,ChIJ23CAl5k23hQRqSVMCHJkHeE,İnönü
Dörtyol,ChIJWS2nt6k13hQRU0DCwffkzjo,Dörtyol
Korkuteli̇,ChIJCSuPp0k13hQRiN0Zm3g8dXA,Korkuteli
Pi̇rhan,ChIJLcSlBsE13hQRP8-F4qiLBBc,Pirhan
Akdoğan,ChIJA8dfLUYw3hQR_xGfkMe5K7g,Akdoğan
Beyarmudu,ChIJg1TRneIt3hQR8NVvavMgv4s,Pergamos
Çayönü,,
Güverci̇nli̇k,ChIJDbkfx5TL3xQR_buM4Nn1d4w,Güvercinlik
İnci̇rli̇,ChIJwaHU1-Iy3hQRbQRoPDGgLv4,İncirli
Köprülü,ChIJ_ZaSPp0z3hQR3M2gtEPsjGQ,Köprülü
Türkmenköy,ChIJ1TLrHNsz3hQR7JLKiFS6h5w,Türkmenköy
Paşaköy,ChIJqbkYhwQ63hQRzd97gRoxA8U,Paşaköy
Aslanköy,ChIJg9Z_PJY53hQRZ3xc1Ig97vQ,Aslanköy
Kurudere,ChIJw29psAo33hQRtm1283EgZJY,Kurudere
Ulukışla,ChIJWXbKMR443hQRsD8nK7y1Cw4,Ulukışla
Pi̇le,ChIJPZiA7ZEu3hQRWvpMYkNkR4o,Pyla
Vadi̇li̇,ChIJWd0rCtww3hQR2QZNitRroNA,Vadili
Turunçlu,ChIJEWTnjUc33hQRg1nJjH_Xyy0,Turunçlu
Geçi̇tkale,ChIJzyALMLpL3hQRN2dyl-_Omes,Geçitkale
Çamlıca,ChIJs_o8XkZJ3hQR6jIyWSux4y4,Çamlıca
Çınarlı,ChIJS2khqQpN3hQR0eDHZNaY1vM,Çınarlı
Mallıdağ,ChIJpSAkQYpO3hQR_mw-aZlPcyU,Mallıdağ
Nergi̇sli̇,ChIJY8VhkfxJ3hQR3TtQUo1M-Y8,Nergisli
Sütlüce,ChIJX8-_p59J3hQRTt4P10BII_U,Sütlüce
Yamaçköy,ChIJI2lXk_FO3hQRe_DeHtHqp8E,Yamaçköy
Serdarlı,ChIJ-1FV-PBH3hQR3ig5I4IhXBw,Serdarlı
Ergenekon,ChIJo-bEGxdG3hQRCtb46LGO9zA,Ergenekon
Gönendere,ChIJUbtao_9I3hQRGQZYKPBGAHQ,Gönendere
Görneç,ChIJyYc73gdH3hQRfmMT5CinGZM,Görneç
Pınarlı,ChIJOy2AVzlI3hQRAjxOiqnAn5s,Pınarlı
Ti̇rmen,ChIJ5-lxn7NI3hQRAPfDuw7QuFI,Tirmen
Küçükerenköy,ChIJASOqhDZO3hQRLBc-qDsiiEI,Küçükerenköy
Aşağı Karaman,,
Beylerbeyi̇,ChIJFRSYOaEU3hQRgym5F_XZnto,Beylerbeyi
Doğanköy,ChIJ2_cKfkwT3hQRPMWDanLRPCQ,Doğanköy
Edremi̇t,ChIJZ09DMp4S3hQRd0ZOf_1ilTc,Edremit
Karakum,ChIJjWF1a69s3hQRq9ClskzK_00,Karakum
Karaoğlanoğlu,ChIJFTeHhbES3hQRDSlhDo94ZNo,Karaoğlanoğlu
Ozanköy,ChIJWQgBAqsU3hQRDGnebBrZxSQ,Ozanköy
Zeyti̇nli̇k Köy,ChIJwVvTLdAS3hQREGDVCh7-Py4,Zeytinlik
Ilgaz,ChIJwfPO3qkN3hQRRA7HzvR1NmY,Ilgaz
İncesu,ChIJ2-_tevsM3hQRxLzz2YPxzAI,İncesu
Yeşi̇ltepe,ChIJQ37m3RwN3hQRXX8CJYlWe_0,Yeşiltepe
Arapköy,ChIJ99aDMKZq3hQRBu8Ksl2TwCw,Arapköy
Çatalköy,ChIJA34q5CVr3hQRg5Hfzht5-RY,Çatalköy
Ağırdağ,ChIJ67JSUnAS3hQRLQG8XhnW1cY,Ağırdağ
Akçi̇çek,ChIJq-MB6AEM3hQR-l97Vmwy_A4,Akçiçek
Aşağı Taşkent,ChIJ-9GNM_QU3hQRWfij39XCSdc,Kaynakköy
Boğazköy,ChIJX0_u6GkS3hQR-1XLGVP2Udo,Boğazköy
Dağyolu,ChIJyyZGv2cO3hQRMTIGUf-gq2E,Dağyolu
Göçeri̇,ChIJh1pYrtUN3hQRacUjOhilL48,Göçeri
Güngör,ChIJ03YxSXQV3hQR4xFQB-gI_Ow,Güngör
Kömürcü,ChIJTQMTPfEN3hQRJTxZ743D5oQ,Kömürcü
Pınarbaşı,ChIJSQMEM-YN3hQRS4wByo5E5SU,Pınarbaşı
Şi̇ri̇nevler,ChIJAy0Ii7UO3hQRJ_TtF_VdPxA,Şirinevler
Yukarı Taşkent,ChIJz9U6E_8U3hQRanxew9hlx0U,Taşkent
Esentepe,,
Bahçeli̇,ChIJ8Qe9QW9P3hQR9NaEanZcrvI,Bahçeli
Beşparmak,ChIJ5YwrdUNA3hQR5J9wzYWE44s,Beşparmak
Karaağaç,ChIJ7VYHdJRG3hQRvc06gOS-wAA,Karaagaç
Karaman,ChIJc0Z0on0N3hQRzLJNY-kkK-4,Karaman
Karşıyaka,ChIJI23ralMK3hQRmSYUL86bEWI,Karşıyaka
Akdeni̇z,ChIJwfPNebbk3RQRQ4wY82BrkXg,Akdeniz
Alemdağ,ChIJr2BEl-EL3hQRuxRFrugXaDI,Alemdağ
Çamlıbel,ChIJKUqtUgji3RQRspS_34LLa1s,Çamlıbel
Geçi̇tköy,ChIJ4xP-0fnh3RQR8AxYXLsvyzE,Geçitköy
Hi̇sarköy,ChIJAbvlJ5QJ3hQRTtLtonn2DKU,Hisarköy
Karpaşa,ChIJ4dnRB3vi3RQR-lNp5vJPO8A,Karpaşa
Kayalar,ChIJ4UZrwHXh3RQR2PaE3-Wo7uw,Kayalar
Kılıçarslan,ChIJD2LWg_gI3hQRPkQCNEuxAgw,Kılıçarslan
Koruçam,ChIJx4wIQefj3RQR954Nruf_HOE,Koruçam
Kozan,ChIJZSJJD2MJ3hQRrXqQjWK3sFg,Kozan
Özhan,ChIJf0DUGkwI3hQRtzbRpmnmEnE,Özhan
Sadrazamköy,ChIJ17BMu43m3RQRUulnzLeP1Gk,Sadrazamköy
Tepebaşı,ChIJh89DvULi3RQRdBBYCLBD6JM,Tepebaşı
Akçay,ChIJgTNn8n3-3RQRjdbMqU27XTk,Akçay
Aşağı Bostancı,ChIJjbYq_sD-3RQRRBwt-tCPH7k,Aşağı Bostancı
Aydınköy,ChIJ8XZ5q1T43RQRzV60qnMopDY,Aydınköy
Gayretköy,ChIJK62DccsA3hQRAGla_VKsatc,Gayretköy
Güneşköy,ChIJwRmoGRv53RQRTTcfmvPxpBo,Güneşköy
Kalkanlı,ChIJQyuQ1iP93RQRg1qfNPTRskI,Kalkanlı
Mevlevi̇,ChIJ6WxWC5b93RQR_5--axMMlfw,Mevlevi
Serhatköy,ChIJS4_MUl0H3hQRcIMqx8tFKPE,Serhatköy
Şahi̇nler,ChIJcbZPcfb93RQRkUJAV1mCgxU,Şahinler
Yayla,ChIJMfmr19L73RQRh0aCJUR2yxg,Yayla
Yukarı Bostancı,ChIJMyeRpuj-3RQRDNZiowoWvBo,Yukarı Bostancı
Yuvacık,ChIJby8zJkT83RQRld-NRrT-uYE,Yuvacık
Zümrütköy,ChIJCb4haHH-3RQRGM3vjRR4u1E,Katokopeia
Lefke,ChIJJcwU6qVZ5xQRkcCTmSDRNms,Lefke
Bademli̇köy,ChIJgSNU9gdf5xQRiKQhw6eXsLo,Bademliköy
Bağlıköy,ChIJufDGSspe5xQRti6m1cYJ7cY,Bağlıköy
Cengi̇zköy,ChIJQezCzERY5xQRDAbxW8MZjdE,Cengizköy
Çamlıköy,ChIJAzmtTDVY5xQRUIkSXcYjHX8,Çamlıköy
Deni̇zli̇,ChIJW2dQ9YxY5xQR7UjsWMVoXM0,Denizli
Doğancı,ChIJe0vMruVX5xQRdlKV_XZjxnU,Doğancı
Gazi̇veren,ChIJEXCaWzf43RQR7zTW95TGTfo,Gaziveren
Taşpınar,ChIJSytdCzRW5xQRJUyZzLdv1n4,Taşpınar
Yedi̇dalga,ChIJcb1P3tJY5xQRmfZXUDXRy0s,Yedidalga
Yeşi̇lırmak,ChIJ7fWEp8df5xQR6HUUmDmX6gk,Yeşilırmak
Yeşi̇lyurt,ChIJpSgobwpY5xQRwtSdyBiNSQU,Yeşilyurt
Ağıllar,ChIJUSNwLkyt3xQRSomsft-WRec,Ağıllar
Altınova,ChIJY7u8o6Oy3xQRg_sVkgyCKqo,Altınova
Ardahan,ChIJK0xTfYKu3xQRkpKVIOf3KIA,Ardahan
Aygün,ChIJz0sKlpSz3xQRfqCrh0TGdtE,Aygün
Boğaz,ChIJUasau5ev3xQRzJkaQJUAR-A,Boğaz
Boğazi̇çi̇,ChIJZSUjjWyz3xQRNs6Qsmp39nA,Boğaziçi
Boğaztepe,ChIJpZeEvrmv3xQRkQn98z8idbo,Boğaztepe
Ergazi̇,ChIJQ1UAPi-v3xQR1V4TY1l3_68,Ergazi
Kaleci̇k,ChIJ8Ue0K8Ol3xQRBAocAhcv6Ys,Kalecik
Kurtuluş,ChIJh8Yz8E-v3xQRvTvUBpX0qFs,Kurtuluş
Kuzucuk,ChIJ_ZP9CnS03xQRzYR6mME076Y,Kuzucuk
Ötüken,ChIJ57M9VAi03xQRtd2YBqUErx4,Ötüken
Sınırüstü,ChIJJwpkVKWz3xQRkigOcbpOlh8,Sınırüstü
Topçuköy,ChIJffxtwMSt3xQRk3m4vey4iDQ,Topçuköy
Turnalar,ChIJSzXsUtyu3xQR1VXj5GR6kdU,Turnalar
Yarköy,ChIJrdCyc1Ou3xQRxHhmQxG1Cfk,Yarköy
Büyükkonuk,ChIJNXgAoeqn3xQRQyZwR32q9Bc,Büyükkonuk
Kaplıca,ChIJfR7-IQip3xQRY1J_oXkCTf4,Kaplıca
Ki̇li̇tkaya,ChIJKaLbloGo3xQRiI0jnDWioi0,Kilitkaya
Mersi̇nli̇k,ChIJj1VTB3as3xQRMg9DvvjtqCs,Phlamoudhi
Sazlıköy,ChIJTeADeQyn3xQRXkzFnnGoJEk,Sazlıköy
Tuzluca,ChIJEW9CzxKm3xQRo5ptbTi1y_0,Tuzluca
Yedi̇konuk,ChIJD8EXgbAJ3xQRV86efYs1Lyg,Yedikonuk
Zeybekköy,ChIJWxKL7aun3xQRGTaHKC59KNg,Zeybekköy
Mehmetçi̇k,ChIJz4xBRhkK3xQRmThc7yJ3-xA,Mehmetçik
Bafra,ChIJo133OM6g3xQR4lp7rm3fOrY,Bafra
Balalan,ChIJX5IB3X0M3xQRnOGYt_iti0I,Balalan
Çayırova,ChIJISBzmemm3xQRbHjlmIap3DY,Çayırova
Kumyalı,ChIJYXp-AiAL3xQRtoMhux70cfw,Koma tou Gialou
Pamuklu,ChIJc-oXFqWg3xQRFdJRKq-xF_U,Pamuklu
Kantara,ChIJjZyEuU2p3xQROD6uAAxEHCg,Kantara
Kaleburnu,ChIJO9rzvaZv3xQR3bJFs5MUGq8,Kaleburnu
Yeni̇ Erenköy,ChIJx9sAZHNt3xQR7rlOtL4guiY,Yeni Erenköy
Adaçay,ChIJLdStg31y3xQRDkjvMJyd_oA,Adaçay
Avtepe,ChIJL1aTzkZy3xQR9fXfZJVqp48,Avtepe
Boltaşlı,ChIJq2tM1Dtz3xQRio98UMYlW4o,Boltaşlı
Deri̇nce,ChIJx0LR8_By3xQRQM3NU_m4cio,Derince
Esenköy,ChIJ61ThRtEM3xQRkPeCY9yZEm8,Esenköy
Geli̇nci̇k,ChIJadCyZLMM3xQRTTqTp9vMMA8,Gelincik
Kuruova,ChIJneqaDzpu3xQRNuMuM_dsljA,Kuruova
Si̇pahi̇,ChIJRe5YJrdt3xQRNMiDadjI280,Sipahi
Taşlıca,ChIJKVz5NrZz3xQRC0ySgw6qt50,Taşlıca
Yeşi̇lköy,ChIJ_bg3-89y3xQRWY8WMwdxxjA,Yeşilköy
Zi̇yamet,ChIJv1L4zExz3xQRlKeaoS9biFo,Ziyamet
Erenköy,ChIJ_Sn_GWVh5xQRezW4HeaNPhE,Kokkina exclave
