town,gm_id,english_name
Μάμμαρη,ChIJaYf2na0F3hQRf1U2pI05jSA,Mammari
Παλαιχώρι Μόρφου,ChIJ_6Zdr6Sy4BQRcro8W-YqC2Y,Palaichori
Ασκάς,ChIJedb9JlNN5xQRsBqPnd6Bm_o,Askas
Άλωνα,ChIJWwSFrHZN5xQRnB8us6NXQqc,Alona
Φτερικούδι,ChIJ9Sfv7KhS5xQRk_lALpxTEWk,Fterikoudi
Πολύστυπος,ChIJmevGTJFN5xQR9HeNf9owX8w,Polistipos
Λαγουδερά,ChIJ-eYLkAxS5xQRW7tkNV2B4QM,Lagoudera
Σαράντι,ChIJ1-INkw9S5xQRj5cgAx8pdzs,Saranti
Λιβάδια Λευκωσίας,ChIJHRVsnI9N5xQRvJ5a15pDgGw,Livadia
Αληθινού,ChIJpc9mE4FN5xQRpJh5sIHp_EY,Alithinou
Πλατανιστάσα,ChIJYblQqoJS5xQRXZX9wXDzMWg,Platanistasa
Παλαιχώρι Ορεινής,ChIJ84ahLdyr4BQRZpTIu6SjFt0,Kalo Chorio
Ξυλιάτος,ChIJZ7IRsYNU5xQRMP9Wlp0O2G4,Xyliatos
Άγιος Γεώργιος Καυκάλλου,ChIJk5nuRnVU5xQRnMSYlgeBoQo,Agios Georgios
Νικητάρι,ChIJpXkziilU5xQR6MA264uh0jk,Nikitari
Βυζακιά,ChIJWw0LNLRV5xQRyVfPY114Plk,Vyzakia
Αγία Μαρίνα Ξυλιάτου,ChIJhZFJ0elU5xQRv7gzaJnOUWk,Agia Marina
Άγιοι Ηλιόφωτοι,ChIJAdrrw-uq4BQRxkbDup-1J2o,Agioi Iliofotoi
Κάτω Μονή,ChIJf-Eh4sSq4BQRBs-gVK2Mgwk,Kato Moni
Ορούντα,ChIJo2E8QhEA3hQRNMhOYniI5gg,Orounda
Πάνω Κουτραφάς,ChIJacNi031W5xQR3y_6dtmIF34,Pano Koutraphas
Κάτω Κουτραφάς,ChIJr28khG1W5xQRAkzAltKTd3E,Kato Koutrafas
Ποτάμι,ChIJZysPEIdV5xQRPkTEx2yKsbo,Potami
Πάνω Ζώδεια,ChIJMyeRpuj-3RQRDNZiowoWvBo,Yukarı Bostancı
Ακάκι,ChIJW0sKzh4B3hQRVyWuYgO1WSw,Akaki
Περιστερώνα Λευκωσίας,ChIJjzGq73sA3hQRbrdEi8WlTqQ,Peristerona
Αστρομερίτης,ChIJuUOG2gn_3RQRn-GxowHTJbo,Astromeritis
Μένικο,ChIJ4w3urQoB3hQRA_E8SzZXQIY,Meniko
Σπήλια,ChIJUWHqgy9O5xQRZswvIfG3kc4,Spilia
Αγία Ειρήνη Λευκωσίας,ChIJ2b7_I-lR5xQR6wxdrjkwDoc,Agia Eirini
Καννάβια,ChIJjTnO3-1R5xQRz9Zj7wdvyuE,Kannavia
Κακοπετριά,ChIJuQaiK1ZF5xQRkMfHz2omxLY,Kakopetria
Άγιος Θεόδωρος Σολέας,ChIJUX2KOcJQ5xQRb_-OHaE903Y,Ayios Theodoros Soleas
Γαλάτα,ChIJyWFmeQdQ5xQRo4JLfRSKhXM,Galata
Σιναόρος,ChIJE_CLmwpQ5xQR773OpdQVmKs,Sina Oros
Καλιάνα,ChIJRfyc47xa5xQRU8XmSMzP55E,Kaliana
Τεμβριά,ChIJWWRVJIRa5xQRIjUSkLucz7Y,Temvria
Κοράκου,ChIJ1Vx7xGRa5xQRaj9Dvt56CJ8,Korakou
Ευρύχου,ChIJZXElz39a5xQRRreA3NlWhMs,Evrychou
Φλάσου,ChIJCVIeKxBa5xQRuDLz2UP16gs,Flasou
Ληνού,ChIJXQbXTwJa5xQRxwAM0eVZxmY,Linou
Κατύδατα,ChIJ8_CKdPBZ5xQRQzAttTt1wD0,Katydata
Σκουριώτισσα (Φουκάσα),ChIJlzIuT-hZ5xQRjlE67ME0T40,Skouriotissa
Πεδουλάς,ChIJRVsXN2dE5xQRf9DkiYNWhVg,Pedoulas
Μυλικούρι,ChIJq8Yw3yVC5xQRlv84elNpq1M,Mylikouri
Μουτουλλάς,ChIJx3u4AZJE5xQRgZWMeLLl2C4,Moutoullas
Οίκος,ChIJoWP5gLhE5xQR2OhyINq3j5A,Oikos
Καλοπαναγιώτης,ChIJH5IitbRE5xQRx_EQ88Pb4yc,Kalopanayiotis
Γερακιές,ChIJIeZSKV5D5xQR2Pt-N2n4wGc,Gerakies
Τσακίστρα,ChIJ-Zqg8KFC5xQR7q6fHv0_2MI,Tsakistra
Κάμπος,ChIJ_fxPGbNC5xQRbzhxDfpTAY8,Kampos
Πάνω Πύργος,ChIJ--EZiedg5xQRiTqvxtHVpoA,Pano Pyrgos
Κάτω Πύργος,ChIJ-3ELgVpg5xQRkwqhdn7ExR4,Kato Pyrgos
Πηγένια,ChIJs7J6ZRFh5xQRZCniW2vxMyo,Pigenia
Παχύαμμος,ChIJJ8yTb4Jj5xQRmAr-KsUsIkk,Pachyammos
Μανσούρα,ChIJl8UxD3hh5xQR1dx_ol1VE0Q,Mansoura
Μοσφίλι,ChIJQctit3xh5xQR1YeeAwdTagk,Mosfili
Αγία Νάπα,ChIJWYKRp2jF3xQRQKqvnhksWJY,Ayia Napa
Παραλίμνι,ChIJN6Wo-2vE3xQR3F9Dv19dyqc,Paralimni
Δερύνεια,ChIJiejhhbDI3xQRlH6-0Zix_vw,Deryneia
Σωτήρα Αμμοχώστου,ChIJ6-3Wew3P3xQR2ZIpR6oQHH0,Sotira
Λιοπέτρι,ChIJxwJgg__N3xQRZAHKR0V5Cp4,Liopetri
Φρέναρος,ChIJJ1dAX-_O3xQRa4h_7SjjH8g,Frenaros
Αυγόρου,ChIJayulWQrN3xQRdL-fqV0siVo,Avgorou
Άχνα,ChIJEfGqsrEy3hQR9S8OV6Sf2X0,Dasaki Achnas
Αχερίτου,ChIJ-3bvKvzL3xQRZiFfvsvFLTM,Vrysoules
Λάρνακα,ChIJE8tAbKGC4BQRpdBxEyLwy08,Larnaca
Αραδίππου,ChIJ3Qh9XZIn3hQRXyQfEHpuVVQ,Aradippou
Λιβάδια,ChIJc16ZWGUo3hQRhM9yVc4utl0,Livadia
Δρομολαξιά,ChIJ-SwF-PGc4BQR-b33EcjjzIE,Dromolaxia
Μενεού,ChIJzRsWkZmc4BQRI6XabNUSikw,Meneou
Κελλιά,ChIJTYIVkZwo3hQRZYA93QHzGLQ,Kellia
Τρούλλοι,ChIJZyCu0Xgv3hQRatZghn44NnA,Troulloi
Bορόκληνη (Ορόκληνη),ChIJ_2PZZNoo3hQRKxiKfJKtI8g,Oroklini
Αβδελλερό,ChIJc-hzgYgm3hQRn1vw1UZ9uFA,Avdellero
Πύλα,ChIJPZiA7ZEu3hQRWvpMYkNkR4o,Pyla
Ξυλοτύμβου,ChIJtb5OMact3hQRKT5hFPpoz6Y,Xylotymvou
Ορμίδεια,ChIJv107r9gs3hQRae-NlJanL0o,Ormideia
Ξυλοφάγου,ChIJVz9cA1LS3xQRmEie9TECWYU,Xylofagou
Πέργαμος,ChIJg1TRneIt3hQR8NVvavMgv4s,Pergamos
Κίτι,ChIJT8WFAgWb4BQRO4617z6zi3o,Kiti
Περιβόλια Λάρνακας,ChIJ65hmAAab4BQR1ZJffakT_Jc,Perivolia
Τερσεφάνου,ChIJ71No6-ub4BQR4wnlFQKLSng,Tersefanou
Σοφτάδες,ChIJ7ajrJbab4BQRjnfOt9HO5Dc,Softades
Μαζωτός,ChIJbdCzy3uX4BQR1Ubwz8yA4Mc,Mazotos
Αλαμινός,ChIJC_P7EF694BQRhaf9anYsMFo,Alaminos
Αναφωτίδα,ChIJ86nPtCOY4BQRoyEMxzPe9ns,Anafotia
Απλάντα,ChIJQfzAQTGY4BQRkQ4BdCuXQt4,Aplanda
Κιβισίλι,ChIJGy9F_aGZ4BQRnNlwKZv3jnM,Kivisili
Αλεθρικό,ChIJF1jkgBqZ4BQR43ImyeQcMrg,Alethriko
Κλαυδιά,ChIJ0Qss47qe4BQRwQgxteCeyfM,Klavdia
Αγγλισίδες,ChIJdQLslmaY4BQRS1IjTpTS5Gs,Anglisides
Μενόγεια,ChIJPSI24QqY4BQRSHSRfPPi8tQ,Menogeia
Αθιένου,ChIJ0_D8YLsj3hQR5X0O5-iYOf4,Athienou
Καλό Χωριό Λάρνακας,ChIJdXChWNyd4BQRC1QpE75sJ7c,Kalo Chorio
Αγία Άννα,ChIJH7l61bKf4BQRwUfZJ2eoH4A,Agia Anna
Μοσφιλωτή,ChIJKZtnKTKg4BQRt_8G2KyJKXY,Mosfiloti
Ψευδάς,ChIJrUi_Y76f4BQRE_d3VJ-Tunc,Psevdas
Πυργά (τα) Λάρνακας,ChIJZ656Ad6h4BQR22S-oL-2Z8c,Pyrga
Κόρνος,ChIJO812fXyh4BQR1021AIz_ZXg,Kornos
Δελίκηπος,ChIJ8bU0kO-j4BQRgWifmidfcng,Delikipos
Ζύγι,ChIJwd7x5Cq54BQRGVuCeaCbB4w,Zygi
Μαρί,ChIJ-xCz6Fy44BQRIRYbnbHr57o,Mari
Καλαβασός,ChIJLzhUjpi54BQR8E2k0IK2zt8,Kalavasos
Τόχνη,ChIJTQuxsmG54BQRg9eC_1ufnfk,Tochni
Χοιροκoιτία,ChIJlxi7bu274BQRGH-WXPSjt0A,Choirokoitia
Ψεματισμένος,ChIJAUk_cFK54BQRlvyG5SQ_B2w,Psematismenos
Μαρώνι,ChIJLaRzyba-4BQRCxyPX3rVA0A,Maroni
Άγιος Θεόδωρος Λάρνακας,ChIJNbatE1e84BQR5N8OMs3CdyQ,Agios Theodoros
Σκαρίνου,ChIJtYl7yYS84BQR7nmLOUd4IzE,Skarinou
Κοφίνου,ChIJ7cYTz9i84BQRubn919vI_vE,Kofinou
Κάτω Λεύκαρα,ChIJSzfsujK74BQRF0j1oYNHrHE,Kato Lefkara
Πάνω Λεύκαρα,ChIJ8396qdWk4BQR0xj9CQFxJoY,Pano Lefkara
Κάτω Δρυς,ChIJZcWZmCC74BQRCPQ_XNGZzgU,Kato Drys
Βάβλα,ChIJ56EZrYe64BQRJXnPWokae7U,Vavla
Λάγεια,ChIJRaoScPWw4BQR29YZDdKPXbo,Lageia
Ορά,ChIJI9U8pKCx4BQR7IOVVvKVQQ8,Ora
Μελίνη,ChIJ34G4E86z4BQR8cpHph3z8Pk,Melini
Οδού,ChIJX0wwXzey4BQRWh3kpMom-yY,Odou
Άγιοι Βαβατσινιάς,ChIJPZudK76x4BQRWQzd01gOToQ,Agioi Vavatsinias
Βαβατσινιά,ChIJ6clA5Niv4BQRARzjOXM8mZ8,Vavatsinia
Λεμεσός,ChIJnfQCrBYz5xQRErAlcJV_qdo,Limassol
Μέσα Γειτονιά,ChIJ5bZwl28z5xQRdNC5jaL0wxE,Mesa Geitonia
Άγιος Αθανάσιος,ChIJ2SQ5I5Y05xQRX_c0Fpz8_XM,Agios Athanasios
Γερμασόγεια,ChIJAxPg8DPL4BQR0eD3XJ7Ycx8,Germasogeia
Πάνω Πολεμίδια,ChIJH7C_MGAx5xQR925eH1R9PKI,Pano Polemidia
Ύψωνας,ChIJK8qTmbYx5xQRNSuzg1f4OzU,Ypsonas
Κάτω Πολεμίδια,ChIJz2jGDdIz5xQRNAOO8jJCkYY,Kato Polemidia
Παλόδεια,ChIJtX6MZD405xQRjr60iwnnPng,Palodia
Παραμύθα,ChIJ799FYSk05xQRXk_aukixDTQ,Paramytha
Σπιτάλι,ChIJsb3gVSw05xQRX9kOcapX_JY,Spitali
Φασούλα Λεμεσού,ChIJsWpcwq415xQRCL2ZFG6XB0o,Fasoula
Μαθικολώνη,ChIJUQyTXG815xQR25Y7hK5WoNA,Mathikoloni
Γεράσα,ChIJlbzujPg15xQRElHZGZN4TPE,Gerasa
Αψιού,ChIJpdYHAIo15xQR-DkXOL0hzKI,Apsiou
Απεσιά,ChIJ21A9sHI25xQRTtQgq4s6xSM,Apesia
Κορφή,ChIJTR7YuD825xQRFzr7p5RbF8o,Korfi
Λιμνάτης,ChIJcU2jqi425xQRwHJUpqdDkzU,Limnatis
Καπηλειό,ChIJ5Y2X_cZJ5xQRgouXAc0V-nE,Kapilio
Μουτταγιάκα,ChIJDzwj8hfL4BQRudKN74NCn5Q,Mouttagiaka
Αρμενοχώρι,ChIJbyBfsWDK4BQRJFRcsopF_VQ,Armenochori
Φοινικάρια,ChIJb6TMksDK4BQRt1Chmg1UaD8,Foinikaria
Ακρούντα,ChIJ_dHSbLPK4BQRuIvKZ4oAmPs,Akrounta
Άγιος Τύχων,ChIJjSlst1LK4BQRN939hbnOL3Q,Agios Tychon
Παρεκκλησιά,ChIJM4_WJhvK4BQRb68sNoBrpSs,Pareklisia
Πεντάκωμο,ChIJm-O0Bua34BQR_7XSdwLGLPA,Pentakomo
Μοναγρούλλι,ChIJE7LtXS224BQRQrCkx8NMSUo,Monagroulli
Μονή,ChIJYdHsmN3J4BQRkMN-vHIylZ0,Moni
Πύργος Λεμεσού,ChIJOSIKiOTJ4BQR63b6XZ-HRVE,Pyrgos
Ασγάτα,ChIJRUQO_mO34BQRXLsKlltNO_I,Asgata
Βάσα Κελλακίου,ChIJByB1fCe34BQRiC-mB_V0Vzw,Vasa
Σανίδα,ChIJ7VhiOL-24BQRpusi6vOAEVM,Sanida
Πραστιό Κελλακίου,ChIJr7Yy-ka04BQRSVyGOVD8sLU,Prastio
Κλωνάρι,ChIJk4uFRa224BQRW-Wnt_1Tw9s,Klonari
Βίκλα,ChIJ75paljax4BQR9T39VGOtn1M,Vikla
Κελλάκι,ChIJ1TPCyBm04BQRnUc--8BIdco,Kellaki
Ακαπνού,ChIJR59iTkGx4BQRLkiJ2LiT7mc,Akapnou
Επταγώνεια,ChIJKdSoYe-z4BQRpxrb4GGW2Ec,Eptagonia
Διερώνα,ChIJBYyHX5K04BQRC66P5waAW-A,Dierona
Αρακαπάς,ChIJtV6QLIO04BQRfoQJjN4JXAE,Arakapas
Άγιος Παύλος,ChIJ52fmpWRL5xQRk-_-heDUo-s,Agios Pavlos
Άγιος Κωνσταντίνος,ChIJu4iywaVM5xQRKIlQa0so93I,Agios Konstantinos
Συκόπετρα,ChIJvyJgzhqz4BQR4852_OjmwH8,Sykopetra
Λουβαράς,ChIJqeu4xBtL5xQRExO3ej4mtmU,Louvaras
Καλό Χωριό Λεμεσού,ChIJ5aBOYqNL5xQRclvf88t9prY,Kalo Chorio
Ζωοπηγή,ChIJa5s8l5NL5xQROW57-SErCwo,Zoopigi
Ακρωτήρι,ChIJ6eWZxecu5xQRLFt15nCJmh8,Akrotiri
Ασώματος Λεμεσού,ChIJqUh6V0cu5xQR1YyC7mF1Onw,Asomatos
Τσερκέζοι,ChIJJyNCuAEy5xQRg51IQBoM9eo,Tserkezoi
Τραχώνι Λεμεσού,ChIJ-f1kR98x5xQROXFUgSEezm0,Trachoni
Κολόσσι,ChIJueG5bSgw5xQRNslktqKIprs,Kolossi
Ερήμη,ChIJ_698wxYw5xQRu7PG16zdX6c,Erimi
Επισκοπή Λεμεσού,ChIJ1ygD_Ckl5xQRUZLuOB_DQZw,Episkopi
Καντού,ChIJQe_OVgww5xQRuJYJAqBKZB8,Kantou
Σωτήρα Λεμεσού,ChIJvRDXxuU65xQR4EjH7_5-Kno,Sotira
Πραστιό Αυδήμου,ChIJF5mNbsI85xQRJyTbO7PZC08,Prastio
Παραμάλι,ChIJe0mFHlsj5xQRm5OdfaDLKoM,Paramali
Αυδήμου,ChIJpR48uR4j5xQRyWISjhtSmfs,Avdimou
Πλατανίστεια,ChIJYbRXPHMY5xQRpz2K5kvehLg,Platanisteia
Άγιος Θωμάς,ChIJdXY5zKUi5xQRI6gnoftDLfg,Agios Thomas
Αλέκτορα,ChIJ6eLiVlAY5xQR7pYj8N5HG7Y,Alektora
Ανώγυρα,ChIJ_28yy0U95xQRFxogS2Jr2NQ,Anogyra
Πισσούρι,ChIJkeMF4bkY5xQRVGlhXfJXzkI,Pissouri
Σούνι-Ζανακιά,ChIJVWGyTBM65xQRnYXWfrtfAT8,Souni-Zanakia
Άλασσα,ChIJzzIN3D035xQR8GNXMHyn6hM,Alassa
Κάτω Κιβίδες,ChIJvWabGig65xQRdemPdxYfsVE,Kato Kivides
Πάνω Κιβίδες,ChIJfXCnXTI65xQRquu0BWh9nes,Pano Kivides
Άγιος Αμβρόσιος Λεμεσού,ChIJq0vTJlw55xQRM2VfaLpJJ_8,Agios Amvrosios
Άγιος Θεράπων,ChIJ45thnxE55xQRIvG0UVoEbO4,Agios Therapon
Λόφου,ChIJw5UYTUc45xQRVhfme_rI6E0,Lofou
Πάχνα,ChIJ5xLz3hs85xQRprjI-h6Pr1U,Pachna
Άγιος Γεώργιος Λεμεσού,ChIJ39dqlvU35xQRheUT2ASw99s,Agios Georgios
Δωρός,ChIJ4_Ixau435xQRWPV1gwR47j4,Dhoros
Λάνεια,ChIJQT0ufOA35xQRR1w6MISIWIE,Laneia
Σιλίκου,ChIJDcY8bQY45xQRVqbE1wh3l0E,Silikou
Μονάγρι,ChIJZWZpo5I35xQRrLnRX5hBgEM,Monagri
Τριμήκληνη,ChIJWcI69BJI5xQRaYWbowhmvYU,Trimiklini
Άγιος Μάμας,ChIJVcK2h65J5xQRQ7WIyzbr2lw,Agios Mamas
Κουκά,ChIJ5R2KXe9H5xQR-wcv5GLgllY,Kouka
Μονιάτης,ChIJ94_W3tVH5xQR2klKftimnYI,Moniatis
Δωρά,ChIJkTkZB5U95xQRbrcooqyNUVY,Dora
Άρσος Λεμεσού,ChIJJylx4QU_5xQRRI8m6gAyZlk,Arsos
Κισσούσα,ChIJq8Arw8U-5xQRmT9HyViUIls,Kissousa
Μαλιά,ChIJq7CVBuk-5xQRANPn0t2s0ko,Malia
Βάσα Κοιλανίου,ChIJbf6siSM_5xQRmwZG3WfNJOw,Vasa
Βουνί,ChIJbeyEgug45xQRfYtVxp6mXBg,Vouni
Πέρα Πεδί,ChIJ8dK1UpVH5xQRgVCzGGjYKNg,Pera Pedi
Μανδριά Λεμεσού,ChIJsczvEGpH5xQRsciiwD-fDzQ,Mandria
Ποταμιού,ChIJeQbo5io_5xQRyjP-Im3WwFQ,Potamiou
Όμοδος,ChIJB0OIhbY45xQRE293wO2Hwf4,Omodos
Κοιλάνι,ChIJhd31o3g45xQRE_4SN_PzuCQ,Koilani
Άγιος Δημήτριος,ChIJz5f9BLNG5xQRXjdT6alLsgc,Agios Dimitrios
Παλαιόμυλος,ChIJid3UiadG5xQR-al7SsUWBR8,Palaiomylos
Πρόδρομος,ChIJNy2YCD5E5xQRTvdLWFnP_Hw,Prodromos
Καμινάρια,ChIJc0za3WpB5xQRMkSc9nmRX8Y,Kaminaria
Τρεις Ελιές,ChIJRcJv9kRB5xQRWVsHL0aBO28,Treis Elies
Λεμίθου,ChIJO9l4_ghE5xQRChbfMTkv9I0,Lemithou
Κάτω Πλάτρες (Toρνάρηδες),ChIJ1ex5RVJG5xQR3HwwGL-Vmr8,Kato Platres
Πάνω Πλάτρες,ChIJd91UiFNG5xQR6uDkdxHwdfw,Pano Platres
Φοινί,ChIJ-ZRJLhhH5xQRrZEXVSNhXf8,Foini
Αμίαντος,ChIJZUQhuyNP5xQRDapaPe7QmAo,Kato Amiantos
Άγιος Θεόδωρος Λεμεσού,ChIJ98ixdF9M5xQRbWAG0WLJjHM,Agios Theodoros
Άγιος Ιωάννης Λεμεσού,ChIJ9cBYJLMz5xQREOPo955awT8,Agios Ioannis
Κάτω Μύλος,ChIJp6J9rBZM5xQRiwj3c8qZRo4,Kato Milos
Ποταμίτισσα,ChIJ-ab0miBM5xQRXb7aqDTD3cw,Potamitissa
Δύμες,ChIJ421DY4NO5xQRNzqfnMovpHQ,Dimes
Πελένδρι,ChIJ22ArU7ZO5xQRZWUnLXI-Zrk,Pelentri
Αγρός,ChIJl1i6aLNN5xQRXSMdn60B0XM,Agros
Αγρίδια,ChIJH1hYNdFN5xQRoOptQYRxT1A,Agridia
Χανδριά,ChIJVRe0suBN5xQRyI2W6ijfpbI,Chandria
Κυπερούντα,ChIJp76a9WhO5xQRwJxKh7-B0zA,Kyperounta
Πάφος,ChIJyeIt9GMG5xQR57X0UP_9BWw,Paphos
Γεροσκήπου,ChIJbzlG2MoF5xQR9O7Y185u2jk,Yeroskipou
Κονιά,ChIJtRwKUsMF5xQRDpzhGp8A9E8,Konia
Αγία Μαρινούδα,ChIJtYyTBEsE5xQRMnTU5zh96no,Ayia Marinouda
Αχέλεια,ChIJnRRCMmcE5xQRAsNZOxTU8BA,Acheleia
Χλώρακας,ChIJvwDEokkG5xQRSkeJ6_AmTIA,Chloraka
Λέμπα,ChIJwz8OHjMG5xQRPEnzDRUH8ZQ,Lempa
Έμπα,ChIJTZqpaEcG5xQRMn3unzGrtOs,Emba
Τρεμιθούσα,ChIJ5eKHTVMP5xQRUmm-VKdtRBo,Tremithousa
Μέσα Χωριό,ChIJy1Aa91gP5xQRokyWZuXRyuE,Mesa Chorio
Μεσόγη,ChIJ-bbs31AP5xQRHcHUbW7GcBY,Mesogi
Τάλα,ChIJW6TwGZEI5xQRlcBdsQ5fTKE,Tala
Κισσόνεργα,ChIJSxBYldIH5xQRpoZgyX847k4,Kissonerga
Κούκλια Πάφου,ChIJk20cuJ0b5xQRMFs9Wnn01T8,Kouklia
Μανδριά Πάφου,ChIJK5MBRa8E5xQRUfERenhNlqc,Mandria
Νικόκλεια,ChIJC-93fgQb5xQRfyUy_MzKxbM,Nikokleia
Σουσκιού,ChIJ60MyVEga5xQRyGEhDmES0pI,Souskiou
Τίμη,ChIJ83FqBcAE5xQRaUnN7QIKy4A,Timi
Αγία Βαρβάρα Πάφου,ChIJ1YF8V-AE5xQRdzv0vUQXHVM,Agia Varvara
Αναρίτα,ChIJWXcqntME5xQRbEdonUVRVmw,Anarita
Μαραθούντα,ChIJw9Ird4MF5xQRXScC52eENXo,Marathounta
Άρμου,ChIJLcvk94gF5xQRiTZHtDboeCE,Armou
Επισκοπή Πάφου,ChIJdzAt4e0P5xQR7pJM7WQZunE,Episkopi
Νατά,ChIJbQn3E5oa5xQRU-Ys7i3FVHc,Nata
Χολέτρια,ChIJ689YJnQa5xQRZFCJcbCoCZo,Choletria
Αξύλου,ChIJ6XJuHkYQ5xQR8RXEsx3gSDw,Axylou
Ελεδιό,ChIJudT3mk4Q5xQRKVuk167MSt8,Eledio
Τσάδα,ChIJeY9izQMP5xQROCzzUaPchWc,Tsada
Κοίλη,ChIJ1cpnTM4O5xQRMi1P3Uvb0rk,Koili
Στρουμπί,ChIJRQI13igM5xQRSZWIkuTg6Lg,Stroumpi
Πολέμι,ChIJDxA4-sMN5xQR3SoT4DATcpk,Polemi
Καλλέπεια,ChIJ4a2pZloO5xQRquJIbzTeAmk,Kallepia
Λετύμβου,ChIJ90LWWGsO5xQR4uG9i4BNJRg,Letymvou
Κούρδακα,ChIJT6gGPhwO5xQR9-Rpd12Opyw,Kourdaka
Λεμώνα,ChIJ8Rsu2BgS5xQRlgQfQvbR-Sg,Lemona
Χούλου,ChIJHXvfZhYS5xQRKauPEPwFt58,Choulou
